"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Revature\Training code\P0-Michael-Good\Models\Customer.cs", "C#", 20, 0, 0, 5, 25
"d:\Revature\Training code\P0-Michael-Good\Models\Inventory.cs", "C#", 16, 0, 0, 2, 18
"d:\Revature\Training code\P0-Michael-Good\Models\Models.csproj", "XML", 0, 5, 0, 3, 8
"d:\Revature\Training code\P0-Michael-Good\Models\Order.cs", "C#", 22, 0, 0, 1, 23
"d:\Revature\Training code\P0-Michael-Good\Models\OrderLine.cs", "C#", 16, 0, 0, 2, 18
"d:\Revature\Training code\P0-Michael-Good\Models\Product.cs", "C#", 15, 0, 0, 1, 16
"d:\Revature\Training code\P0-Michael-Good\Models\StoreFront.cs", "C#", 18, 0, 0, 2, 20
"Total", "-", 107, 5, 0, 16, 128
