"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Revature\Training code\P0-Michael-Good\UI\AdminMenu.cs", "C#", 286, 0, 15, 22, 323
"d:\Revature\Training code\P0-Michael-Good\UI\IMenu.cs", "C#", 7, 0, 0, 0, 7
"d:\Revature\Training code\P0-Michael-Good\UI\LoginMenu.cs", "C#", 60, 0, 4, 6, 70
"d:\Revature\Training code\P0-Michael-Good\UI\MainMenu.cs", "C#", 64, 0, 7, 9, 80
"d:\Revature\Training code\P0-Michael-Good\UI\OrderMenu.cs", "C#", 107, 0, 5, 6, 118
"d:\Revature\Training code\P0-Michael-Good\UI\Program.cs", "C#", 20, 0, 0, 4, 24
"d:\Revature\Training code\P0-Michael-Good\UI\RegistrationMenu.cs", "C#", 69, 0, 4, 8, 81
"d:\Revature\Training code\P0-Michael-Good\UI\UI.csproj", "XML", 0, 19, 0, 5, 24
"Total", "-", 613, 19, 35, 60, 727
