"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Revature\Training code\P0-Michael-Good\StoreBL\BL.cs", "C#", 65, 0, 0, 4, 69
"d:\Revature\Training code\P0-Michael-Good\StoreBL\IBL.cs", "C#", 20, 0, 0, 1, 21
"d:\Revature\Training code\P0-Michael-Good\StoreBL\StoreBL.csproj", "XML", 0, 9, 0, 4, 13
"Total", "-", 85, 9, 0, 9, 103
